,image_path,class,predicted_class,vocabulary_words,normalization,kernel,epsilon
0,imagedb_test/fighter_jet/069_0090.jpg,0,2,50,False,RBF,1e-08
1,imagedb_test/fighter_jet/069_0091.jpg,0,4,50,False,RBF,1e-08
2,imagedb_test/fighter_jet/069_0092.jpg,0,0,50,False,RBF,1e-08
3,imagedb_test/fighter_jet/069_0093.jpg,0,1,50,False,RBF,1e-08
4,imagedb_test/fighter_jet/069_0094.jpg,0,1,50,False,RBF,1e-08
5,imagedb_test/fighter_jet/069_0095.jpg,0,0,50,False,RBF,1e-08
6,imagedb_test/fighter_jet/069_0096.jpg,0,5,50,False,RBF,1e-08
7,imagedb_test/fighter_jet/069_0097.jpg,0,5,50,False,RBF,1e-08
8,imagedb_test/fighter_jet/069_0098.jpg,0,0,50,False,RBF,1e-08
9,imagedb_test/fighter_jet/069_0099.jpg,0,5,50,False,RBF,1e-08
10,imagedb_test/motorbike/145_0090.jpg,1,1,50,False,RBF,1e-08
11,imagedb_test/motorbike/145_0091.jpg,1,1,50,False,RBF,1e-08
12,imagedb_test/motorbike/145_0092.jpg,1,1,50,False,RBF,1e-08
13,imagedb_test/motorbike/145_0093.jpg,1,1,50,False,RBF,1e-08
14,imagedb_test/motorbike/145_0094.jpg,1,1,50,False,RBF,1e-08
15,imagedb_test/motorbike/145_0095.jpg,1,1,50,False,RBF,1e-08
16,imagedb_test/motorbike/145_0096.jpg,1,1,50,False,RBF,1e-08
17,imagedb_test/motorbike/145_0097.jpg,1,4,50,False,RBF,1e-08
18,imagedb_test/motorbike/145_0098.jpg,1,4,50,False,RBF,1e-08
19,imagedb_test/motorbike/145_0099.jpg,1,1,50,False,RBF,1e-08
20,imagedb_test/school_bus/178_0090.jpg,2,4,50,False,RBF,1e-08
21,imagedb_test/school_bus/178_0091.jpg,2,5,50,False,RBF,1e-08
22,imagedb_test/school_bus/178_0092.jpg,2,2,50,False,RBF,1e-08
23,imagedb_test/school_bus/178_0093.jpg,2,1,50,False,RBF,1e-08
24,imagedb_test/school_bus/178_0094.jpg,2,4,50,False,RBF,1e-08
25,imagedb_test/school_bus/178_0095.jpg,2,3,50,False,RBF,1e-08
26,imagedb_test/school_bus/178_0096.jpg,2,1,50,False,RBF,1e-08
27,imagedb_test/school_bus/178_0097.jpg,2,0,50,False,RBF,1e-08
28,imagedb_test/school_bus/178_0098.jpg,2,2,50,False,RBF,1e-08
29,imagedb_test/touring_bike/224_0061.jpg,3,3,50,False,RBF,1e-08
30,imagedb_test/touring_bike/224_0101.jpg,3,3,50,False,RBF,1e-08
31,imagedb_test/touring_bike/224_0102.jpg,3,3,50,False,RBF,1e-08
32,imagedb_test/touring_bike/224_0103.jpg,3,3,50,False,RBF,1e-08
